seqname,tax_id
UniRef90_A0A1X7CGJ7,lsd_rzo
UniRef90_A0A7W8WLC2,lsd_rzo
UniRef90_A0A4D6XFS7,lsd_rzo
UniRef90_A0A0F7KW41,lsd_rzo
UniRef90_A0A6I4U154,lsd_rzo
UniRef90_A0A2W4R3F2,lsd_rzo
UniRef90_A0A1G0J8U2,lsd_rzo
UniRef90_UPI00101C30CA,lsd_rzo
UniRef90_A0A2S7K2Z0,lsd_rzo
UniRef90_A0A0N1BUG3,lsd_rzo
UniRef90_A0A1B3N1X6,lsd_rzo
UniRef90_UPI00163B22E1,lsd_rzo
UniRef90_A0A2W4MIN9,lsd_rzo
UniRef90_A0A1M3PWY9,lsd_rzo
UniRef90_G2INY0,lsd_rzo
UniRef90_A0A7W0BQC5,lsd_rzo
UniRef90_UPI00101CA2B4,lsd_rzo
UniRef90_A0A4U1L3G4,lsd_rzo
UniRef90_A0A6I4URL2,lsd_rzo
UniRef90_A0A2Z5YZ36,lsd_rzo
UniRef90_UPI0013681BFF,lsd_rzo
UniRef90_A0A420ERK6,lsd_rzo
UniRef90_A0A6I4T4G5,lsd_rzo
UniRef90_A0A0Q6WS45,lsd_rzo
UniRef90_A0A385ZGL4,lsd_rzo
UniRef90_A0A4R3ESK5,lsd_rzo
UniRef90_UPI0010C012EB,lsd_rzo
UniRef90_A0A4P7YNW3,lsd_rzo
UniRef90_A0A502FAJ2,lsd_rzo
UniRef90_UPI00174DC7B0,lsd_rzo
UniRef90_A0A7Y7XHR1,lsd_rzo
UniRef90_A0A1F4GU73,lsd_rzo
UniRef90_UPI0005A6AF76,lsd_rzo
UniRef90_A0A0F5K111,lsd_rzo
UniRef90_H0SPE0,lsd_rzo
UniRef90_UPI0015516B37,lsd_rzo
UniRef90_A0A7H1J9L7,lsd_rzo
UniRef90_A0A081FX36,lsd_rzo
UniRef90_A0A318C3K2,lsd_rzo
UniRef90_UPI001786A4C2,lsd_rzo
UniRef90_A0A6I4G8X7,lsd_rzo
UniRef90_A0A6I7HIM7,lsd_rzo
UniRef90_A0A7W6KXT6,lsd_rzo
UniRef90_A0A0U3PPQ0,lsd_rzo
UniRef90_A0A1Q9A765,lsd_rzo
UniRef90_A0A4Z1PZG1,lsd_rzo
UniRef90_A0A7X9ZQ84,lsd_rzo
UniRef90_A0A6N7HXI8,lsd_rzo
UniRef90_A0A4U0HCP9,lsd_rzo
UniRef90_A0A4U0HCG1,lsd_rzo
UniRef90_UPI00166B4FD6,lsd_rzo
UniRef90_A0A653UCA6,lsd_rzo
UniRef90_A0A1S8CD22,lsd_rzo
UniRef90_A0A2W4T4N6,lsd_rzo
