seqname,tax_id
UniRef100_A0A3E2EHT6,DZR
UniRef100_A0A6N8JMS8,DZR
UniRef100_A0A7R8GRR9,DZR
UniRef100_A0A0U1WKA6,DZR
UniRef100_A0A4Q2K5B6,DZR
UniRef100_A0A3N0AYH1,DZR
UniRef100_UPI0018A934C8,DZR
UniRef100_A0A415XH18,DZR
UniRef100_A0A416FPZ6,DZR
UniRef100_A0A416YFB0,DZR
UniRef100_UPI00032A8DB2,DZR
UniRef100_UPI000BEECDCC,DZR
UniRef100_F8KGI0,DZR
UniRef100_A0A7L6BIB3,DZR
UniRef100_A0A1V4FJ80,DZR
UniRef100_UPI001564C9F8,DZR
UniRef100_UPI0013DB18E2,DZR
UniRef100_UPI0012B3A06D,DZR
UniRef100_UPI001569BCB0,DZR
UniRef100_A0A3D2KYE9,DZR
UniRef100_A0A3D0GTC3,DZR
UniRef100_A0A3B9Z8Q8,DZR
UniRef100_UPI0008E4F18B,DZR
UniRef100_A0A3D1YV36,DZR
UniRef100_A0A1H6UZV4,DZR
UniRef100_UPI00051B92E3,DZR
UniRef100_A0A0R2ESZ8,DZR
UniRef100_UPI00195131C8,DZR
UniRef100_UPI001943E39B,DZR
UniRef100_UPI0019448DDA,DZR
UniRef100_A0A373HNB0,DZR
UniRef100_UPI00174D5456,DZR
UniRef100_UPI001957215B,DZR
UniRef100_A0A3R6VSN4,DZR
UniRef100_A0A417UJL0,DZR
UniRef100_A0A1Y3TLV1,DZR
UniRef100_A0A1Y4SQ22,DZR
UniRef100_A0A1Y4S580,DZR
UniRef100_UPI0018A9BD59,DZR
UniRef100_A0A6N9L735,DZR
UniRef100_A0A373I7K7,DZR
